14400 [1.1409e-02, 9.1816e+00]
14500 [1.1862e-02, 9.1894e+00]
14600 [1.2352e-02, 9.1936e+00]
14700 [9.6711e-03, 9.2028e+00]
14800 [1.0105e-02, 9.2057e+00]
14900 [1.1148e-02, 9.2062e+00]
15000 [1.0817e-02, 9.1953e+00]
15100 [1.0902e-02, 9.1810e+00]
15200 [1.1876e-02, 9.1679e+00]
15300 [1.4763e-02, 9.1439e+00]
15400 [1.4518e-02, 9.1268e+00]
15500 [1.1053e-02, 9.1042e+00]
15600 [1.4417e-02, 9.0721e+00]
15700 [1.1216e-02, 9.0355e+00]
15800 [1.3318e-02, 8.9973e+00]
15900 [1.1625e-02, 8.9434e+00]
16000 [1.3197e-02, 8.8898e+00]
16100 [1.2398e-02, 8.8506e+00]
16200 [5.8565e-02, 9.0184e+00]
16300 [5.5058e-02, 9.1338e+00]
16400 [4.1413e-02, 9.2378e+00]
16500 [3.4045e-02, 9.3365e+00]
16600 [1.6428e-02, 9.4185e+00]
16700 [1.0932e-02, 9.4801e+00]
16800 [1.1138e-02, 9.5189e+00]
16900 [1.5961e-02, 9.5408e+00]
17000 [1.5651e-02, 9.5535e+00]
17100 [1.6395e-02, 9.5625e+00]
17200 [1.3249e-02, 9.5600e+00]
17300 [1.4634e-02, 9.5634e+00]
17400 [1.6111e-02, 9.5638e+00]
17500 [1.5386e-02, 9.5483e+00]
17600 [1.4247e-02, 9.5460e+00]
17700 [1.6524e-02, 9.5416e+00]
17800 [1.4430e-02, 9.5186e+00]
17900 [1.5562e-02, 9.5013e+00]
18000 [1.3832e-02, 9.4912e+00]
18100 [1.3287e-02, 9.4555e+00]
18200 [1.3251e-02, 9.4157e+00]
18300 [1.3254e-02, 9.3704e+00]
18400 [1.3225e-02, 9.3187e+00]
18500 [1.3120e-02, 9.2609e+00]
18600 [1.3555e-02, 9.2021e+00]
18700 [1.2941e-02, 9.1708e+00]
18800 [1.7603e-02, 9.1164e+00]
18900 [1.2960e-02, 9.0410e+00]
19000 [1.2878e-02, 8.9585e+00]
19100 [1.2923e-02, 8.8736e+00]
19200 [1.3356e-02, 8.7866e+00]
19300 [2.0322e-02, 8.7484e+00]
19400 [1.3552e-02, 8.6716e+00]
19500 [1.3015e-02, 8.5787e+00]
19600 [1.2985e-02, 8.4860e+00]
19700 [1.5022e-02, 8.4102e+00]
19800 [1.0285e-02, 8.3423e+00]
19900 [1.2388e-02, 8.2911e+00]
20000 [1.3443e-02, 8.2027e+00]
20000 [1.3443e-02, 8.2027e+00]
20100 [1.6178e-02, 8.1915e+00]
20200 [1.4656e-02, 8.1782e+00]
20300 [1.4474e-02, 8.1654e+00]
20400 [1.4467e-02, 8.1532e+00]
20500 [1.4523e-02, 8.1412e+00]
20600 [1.4586e-02, 8.1295e+00]
20700 [1.4762e-02, 8.1178e+00]
20800 [1.4919e-02, 8.1063e+00]
20900 [1.4770e-02, 8.0948e+00]
21000 [1.4474e-02, 8.0833e+00]
21100 [1.4575e-02, 8.0719e+00]
21200 [1.4629e-02, 8.0606e+00]
21300 [1.4934e-02, 8.0493e+00]
21400 [1.4998e-02, 8.0380e+00]
21500 [1.4942e-02, 8.0268e+00]
21600 [1.5023e-02, 8.0156e+00]
21700 [1.5038e-02, 8.0044e+00]
21800 [1.5232e-02, 7.9933e+00]
21900 [1.5230e-02, 7.9821e+00]
22000 [1.5069e-02, 7.9710e+00]
22100 [1.5054e-02, 7.9598e+00]
22200 [1.5069e-02, 7.9488e+00]
22300 [1.5079e-02, 7.9378e+00]
22400 [1.4839e-02, 7.9267e+00]
22500 [1.4885e-02, 7.9158e+00]
22600 [1.4774e-02, 7.9048e+00]
22700 [1.4126e-02, 7.8938e+00]
22800 [1.4700e-02, 7.8830e+00]
22900 [1.4583e-02, 7.8722e+00]
23000 [1.4458e-02, 7.8614e+00]
23100 [1.4356e-02, 7.8506e+00]
23200 [1.4228e-02, 7.8399e+00]
23300 [1.4096e-02, 7.8291e+00]
23400 [1.3788e-02, 7.8184e+00]
23500 [1.3629e-02, 7.8077e+00]
23600 [1.3727e-02, 7.7971e+00]
23700 [1.3702e-02, 7.7864e+00]
23800 [1.3577e-02, 7.7759e+00]
23900 [1.3383e-02, 7.7653e+00]
24000 [1.3352e-02, 7.7546e+00]
24100 [1.3239e-02, 7.7441e+00]
24200 [1.3026e-02, 7.7335e+00]
24300 [1.2957e-02, 7.7229e+00]
24400 [1.2840e-02, 7.7123e+00]
24500 [1.2667e-02, 7.7018e+00]
24600 [1.2578e-02, 7.6912e+00]
24700 [1.2451e-02, 7.6806e+00]
24800 [1.2304e-02, 7.6700e+00]
24900 [1.2182e-02, 7.6595e+00]
25000 [1.1950e-02, 7.6489e+00]
25100 [1.1895e-02, 7.6383e+00]
25200 [1.1778e-02, 7.6278e+00]
25300 [1.1655e-02, 7.6172e+00]
25400 [1.1183e-02, 7.6066e+00]
25500 [1.1344e-02, 7.5960e+00]
25600 [1.1342e-02, 7.5854e+00]
25700 [1.1188e-02, 7.5748e+00]
25800 [1.1056e-02, 7.5642e+00]
25900 [1.0936e-02, 7.5536e+00]
26000 [1.0822e-02, 7.5431e+00]
26100 [1.0787e-02, 7.5325e+00]
26200 [1.0658e-02, 7.5219e+00]
26300 [1.0543e-02, 7.5113e+00]
26400 [1.0592e-02, 7.5008e+00]
26500 [1.0480e-02, 7.4902e+00]
26600 [1.0215e-02, 7.4796e+00]
26700 [1.0323e-02, 7.4691e+00]
26800 [1.0293e-02, 7.4585e+00]
26900 [1.0222e-02, 7.4480e+00]
27000 [1.0223e-02, 7.4375e+00]
27100 [1.0223e-02, 7.4270e+00]
27200 [1.0116e-02, 7.4166e+00]
27300 [9.8655e-03, 7.4060e+00]
27400 [1.0219e-02, 7.3956e+00]
27500 [1.0185e-02, 7.3851e+00]
27600 [1.0124e-02, 7.3747e+00]
27700 [1.0003e-02, 7.3642e+00]
27800 [9.8931e-03, 7.3538e+00]
27900 [9.8948e-03, 7.3433e+00]
28000 [1.0171e-02, 7.3330e+00]
28100 [1.0125e-02, 7.3226e+00]
28200 [1.0044e-02, 7.3122e+00]
28300 [9.9111e-03, 7.3018e+00]
28400 [9.9788e-03, 7.2914e+00]
28500 [1.0189e-02, 7.2810e+00]
28600 [1.0178e-02, 7.2707e+00]
28700 [1.0085e-02, 7.2604e+00]
28800 [9.6462e-03, 7.2500e+00]
28900 [1.0219e-02, 7.2397e+00]
29000 [1.0017e-02, 7.2294e+00]
29100 [1.0178e-02, 7.2190e+00]
29200 [1.0225e-02, 7.2087e+00]
29300 [1.0096e-02, 7.1985e+00]
29400 [9.7582e-03, 7.1881e+00]
29500 [1.0260e-02, 7.1779e+00]
29600 [1.0148e-02, 7.1676e+00]
29700 [9.7975e-03, 7.1572e+00]
29800 [1.0290e-02, 7.1470e+00]
29900 [1.0101e-02, 7.1368e+00]
30000 [1.0316e-02, 7.1265e+00]
