0 [6.0000e-01]
100 [6.1327e-01]
200 [6.3348e-01]
300 [6.2072e-01]
400 [6.0169e-01]
500 [5.8026e-01]
600 [5.5754e-01]
700 [5.3336e-01]
800 [5.0867e-01]
900 [4.8452e-01]
1000 [4.6073e-01]
1100 [4.4162e-01]
1200 [4.2904e-01]
1300 [4.2150e-01]
1400 [4.1747e-01]
1500 [4.1567e-01]
1600 [4.1537e-01]
1700 [4.1622e-01]
1800 [4.1806e-01]
1900 [4.2081e-01]
2000 [4.2437e-01]
2100 [4.2862e-01]
2200 [4.3333e-01]
2300 [4.3837e-01]
2400 [4.4343e-01]
2500 [4.4858e-01]
2600 [4.5353e-01]
2700 [4.5843e-01]
2800 [4.6311e-01]
2900 [4.6760e-01]
3000 [4.7201e-01]
3100 [4.7601e-01]
3200 [4.7998e-01]
3300 [4.8374e-01]
3400 [4.8734e-01]
3500 [4.9088e-01]
3600 [4.9418e-01]
3700 [4.9752e-01]
3800 [5.0051e-01]
3900 [5.0361e-01]
4000 [5.0658e-01]
4100 [5.0945e-01]
4200 [5.1240e-01]
4300 [5.1504e-01]
4400 [5.1782e-01]
4500 [5.2038e-01]
4600 [5.2296e-01]
4700 [5.2556e-01]
4800 [5.2784e-01]
4900 [5.3025e-01]
5000 [5.3242e-01]
5100 [5.3459e-01]
5200 [5.3676e-01]
5300 [5.3861e-01]
5400 [5.4055e-01]
5500 [5.4225e-01]
5600 [5.4396e-01]
5700 [5.4562e-01]
5800 [5.4699e-01]
5900 [5.4846e-01]
6000 [5.4969e-01]
6100 [5.5096e-01]
6200 [5.5216e-01]
6300 [5.5318e-01]
6400 [5.5427e-01]
6500 [5.5510e-01]
6600 [5.5604e-01]
6700 [5.5692e-01]
6800 [5.5760e-01]
6900 [5.5839e-01]
7000 [5.5898e-01]
7100 [5.5965e-01]
7200 [5.6025e-01]
7300 [5.6073e-01]
7400 [5.6129e-01]
7500 [5.6162e-01]
7600 [5.6207e-01]
7700 [5.6251e-01]
7800 [5.6271e-01]
7900 [5.6304e-01]
8000 [5.6335e-01]
8100 [5.6347e-01]
8200 [5.6367e-01]
8300 [5.6386e-01]
8400 [5.6382e-01]
8500 [5.6392e-01]
8600 [5.6397e-01]
8700 [5.6372e-01]
8800 [5.6371e-01]
8900 [5.6366e-01]
9000 [5.6356e-01]
9100 [5.6326e-01]
9200 [5.6309e-01]
9300 [5.6281e-01]
9400 [5.6251e-01]
9500 [5.6224e-01]
9600 [5.6177e-01]
9700 [5.6145e-01]
9800 [5.6108e-01]
9900 [5.6054e-01]
10000 [5.6012e-01]
10100 [5.5958e-01]
10200 [5.5903e-01]
10300 [5.5852e-01]
10400 [5.5783e-01]
10500 [5.5727e-01]
10600 [5.5666e-01]
10700 [5.5588e-01]
10800 [5.5524e-01]
10900 [5.5455e-01]
11000 [5.5368e-01]
11100 [5.5295e-01]
11200 [5.5207e-01]
11300 [5.5125e-01]
11400 [5.5041e-01]
11500 [5.4941e-01]
11600 [5.4856e-01]
11700 [5.4764e-01]
11800 [5.4660e-01]
11900 [5.4565e-01]
12000 [5.4454e-01]
12100 [5.4356e-01]
12200 [5.4253e-01]
12300 [5.4139e-01]
12400 [5.4036e-01]
12500 [5.3923e-01]
12600 [5.3815e-01]
12700 [5.3709e-01]
12800 [5.3589e-01]
12900 [5.3489e-01]
13000 [5.3385e-01]
13100 [5.3272e-01]
13200 [5.3173e-01]
13300 [5.3066e-01]
13400 [5.2967e-01]
13500 [5.2872e-01]
13600 [5.2770e-01]
13700 [5.2683e-01]
13800 [5.2592e-01]
13900 [5.2502e-01]
14000 [5.2423e-01]
