0 [0.0000e+00, 0.0000e+00]
100 [3.6188e-03, 3.9804e-03]
200 [1.8648e-05, 5.8461e-03]
300 [-4.9711e-03, 8.6439e-03]
400 [-9.3283e-03, 1.3032e-02]
500 [-1.1705e-02, 1.9609e-02]
600 [-8.7200e-03, 2.8580e-02]
700 [9.2268e-03, 3.8728e-02]
800 [5.3179e-02, 4.7805e-02]
900 [9.1267e-02, 6.0733e-02]
1000 [8.2231e-02, 7.0966e-02]
1100 [7.2719e-02, 6.8001e-02]
1200 [7.8103e-02, 6.6612e-02]
1300 [8.4189e-02, 7.4661e-02]
1400 [8.7534e-02, 8.3970e-02]
1500 [8.9718e-02, 9.0320e-02]
1600 [9.2905e-02, 9.5162e-02]
1700 [9.5395e-02, 9.8020e-02]
1800 [9.6360e-02, 9.9091e-02]
1900 [9.6587e-02, 9.9386e-02]
2000 [9.6630e-02, 9.9458e-02]
2100 [9.6635e-02, 9.9465e-02]
2200 [9.6640e-02, 9.9450e-02]
2300 [9.6655e-02, 9.9426e-02]
2400 [9.6683e-02, 9.9402e-02]
2500 [9.6722e-02, 9.9379e-02]
2600 [9.6768e-02, 9.9359e-02]
2700 [9.6816e-02, 9.9341e-02]
2800 [9.6862e-02, 9.9325e-02]
2900 [9.6900e-02, 9.9310e-02]
3000 [9.6927e-02, 9.9297e-02]
3100 [9.6942e-02, 9.9288e-02]
3200 [9.6945e-02, 9.9286e-02]
3300 [9.6937e-02, 9.9293e-02]
3400 [9.6918e-02, 9.9312e-02]
3500 [9.6893e-02, 9.9341e-02]
3600 [9.6857e-02, 9.9382e-02]
3700 [9.6829e-02, 9.9429e-02]
3800 [9.6798e-02, 9.9482e-02]
3900 [9.6776e-02, 9.9536e-02]
4000 [9.6766e-02, 9.9586e-02]
4100 [9.6769e-02, 9.9634e-02]
4200 [9.6787e-02, 9.9676e-02]
4300 [9.6827e-02, 9.9713e-02]
4400 [9.6880e-02, 9.9747e-02]
4500 [9.6940e-02, 9.9778e-02]
4600 [9.7031e-02, 9.9809e-02]
4700 [9.7117e-02, 9.9839e-02]
4800 [9.7221e-02, 9.9871e-02]
4900 [9.7325e-02, 9.9904e-02]
5000 [9.7436e-02, 9.9938e-02]
5100 [9.7573e-02, 9.9971e-02]
5200 [9.7698e-02, 1.0001e-01]
5300 [9.7826e-02, 1.0004e-01]
5400 [9.7944e-02, 1.0007e-01]
5500 [9.8060e-02, 1.0009e-01]
5600 [9.8161e-02, 1.0011e-01]
5700 [9.8249e-02, 1.0013e-01]
5800 [9.8332e-02, 1.0014e-01]
5900 [9.8399e-02, 1.0014e-01]
6000 [9.8457e-02, 1.0015e-01]
6100 [9.8506e-02, 1.0014e-01]
6200 [9.8550e-02, 1.0013e-01]
6300 [9.8590e-02, 1.0012e-01]
6400 [9.8625e-02, 1.0011e-01]
6500 [9.8662e-02, 1.0008e-01]
6600 [9.8689e-02, 1.0007e-01]
6700 [9.8728e-02, 1.0005e-01]
6800 [9.8764e-02, 1.0003e-01]
6900 [9.8789e-02, 1.0003e-01]
7000 [9.8827e-02, 1.0000e-01]
7100 [9.8855e-02, 1.0001e-01]
7200 [9.8881e-02, 1.0000e-01]
7300 [9.8920e-02, 1.0001e-01]
7400 [9.8944e-02, 1.0003e-01]
7500 [9.8967e-02, 1.0002e-01]
7600 [9.8991e-02, 1.0004e-01]
7700 [9.9012e-02, 1.0004e-01]
7800 [9.9021e-02, 1.0005e-01]
7900 [9.9041e-02, 1.0008e-01]
8000 [9.9045e-02, 1.0008e-01]
8100 [9.9055e-02, 1.0009e-01]
8200 [9.9065e-02, 1.0010e-01]
8300 [9.9070e-02, 1.0011e-01]
8400 [9.9074e-02, 1.0013e-01]
8500 [9.9083e-02, 1.0013e-01]
8600 [9.9072e-02, 1.0013e-01]
8700 [9.9090e-02, 1.0015e-01]
8800 [9.9094e-02, 1.0016e-01]
8900 [9.9098e-02, 1.0017e-01]
9000 [9.9096e-02, 1.0017e-01]
9100 [9.9103e-02, 1.0018e-01]
9200 [9.9107e-02, 1.0018e-01]
9300 [9.9110e-02, 1.0019e-01]
9400 [9.9113e-02, 1.0020e-01]
9500 [9.9116e-02, 1.0020e-01]
9600 [9.9118e-02, 1.0020e-01]
9700 [9.9136e-02, 1.0021e-01]
9800 [9.9128e-02, 1.0021e-01]
9900 [9.9150e-02, 1.0018e-01]
10000 [9.9154e-02, 1.0022e-01]
10100 [9.9142e-02, 1.0021e-01]
10200 [9.9147e-02, 1.0022e-01]
10300 [9.9141e-02, 1.0021e-01]
10400 [9.9157e-02, 1.0021e-01]
10500 [9.9165e-02, 1.0021e-01]
10600 [9.9169e-02, 1.0022e-01]
10700 [9.9174e-02, 1.0022e-01]
10800 [9.9180e-02, 1.0022e-01]
10900 [9.9177e-02, 1.0023e-01]
11000 [9.9201e-02, 1.0022e-01]
11100 [9.9199e-02, 1.0022e-01]
11200 [9.9203e-02, 1.0023e-01]
11300 [9.9203e-02, 1.0022e-01]
11400 [9.9195e-02, 1.0022e-01]
11500 [9.9223e-02, 1.0022e-01]
11600 [9.9227e-02, 1.0022e-01]
11700 [9.9234e-02, 1.0022e-01]
11800 [9.9238e-02, 1.0023e-01]
11900 [9.9243e-02, 1.0022e-01]
12000 [9.9255e-02, 1.0021e-01]
12100 [9.9248e-02, 1.0022e-01]
12200 [9.9226e-02, 1.0022e-01]
12300 [9.9263e-02, 1.0022e-01]
12400 [9.9265e-02, 1.0022e-01]
12500 [9.9273e-02, 1.0022e-01]
12600 [9.9273e-02, 1.0022e-01]
12700 [9.9275e-02, 1.0022e-01]
12800 [9.9273e-02, 1.0022e-01]
12900 [9.9283e-02, 1.0022e-01]
13000 [9.9276e-02, 1.0022e-01]
13100 [9.9282e-02, 1.0022e-01]
13200 [9.9289e-02, 1.0022e-01]
13300 [9.9297e-02, 1.0022e-01]
13400 [9.9294e-02, 1.0022e-01]
13500 [9.9295e-02, 1.0022e-01]
13600 [9.9298e-02, 1.0021e-01]
13700 [9.9303e-02, 1.0022e-01]
13800 [9.9295e-02, 1.0022e-01]
13900 [9.9319e-02, 1.0023e-01]
14000 [9.9302e-02, 1.0022e-01]
14100 [9.9303e-02, 1.0023e-01]
14200 [9.9303e-02, 1.0023e-01]
14300 [9.9314e-02, 1.0021e-01]
14400 [9.9305e-02, 1.0023e-01]
14500 [9.9318e-02, 1.0023e-01]
14600 [9.9308e-02, 1.0023e-01]
14700 [9.9308e-02, 1.0023e-01]
14800 [9.9309e-02, 1.0024e-01]
14900 [9.9310e-02, 1.0024e-01]
15000 [9.9308e-02, 1.0024e-01]
15100 [9.9311e-02, 1.0024e-01]
15200 [9.9313e-02, 1.0024e-01]
15300 [9.9320e-02, 1.0023e-01]
15400 [9.9312e-02, 1.0025e-01]
15500 [9.9311e-02, 1.0025e-01]
15600 [9.9315e-02, 1.0025e-01]
15700 [9.9314e-02, 1.0025e-01]
15800 [9.9315e-02, 1.0026e-01]
15900 [9.9316e-02, 1.0026e-01]
16000 [9.9316e-02, 1.0026e-01]
16100 [9.9317e-02, 1.0026e-01]
16200 [9.9310e-02, 1.0026e-01]
16300 [9.9324e-02, 1.0026e-01]
16400 [9.9319e-02, 1.0027e-01]
16500 [9.9321e-02, 1.0027e-01]
16600 [9.9323e-02, 1.0028e-01]
16700 [9.9334e-02, 1.0026e-01]
16800 [9.9323e-02, 1.0028e-01]
16900 [9.9325e-02, 1.0028e-01]
17000 [9.9326e-02, 1.0029e-01]
17100 [9.9327e-02, 1.0029e-01]
17200 [9.9328e-02, 1.0029e-01]
17300 [9.9332e-02, 1.0029e-01]
17400 [9.9330e-02, 1.0030e-01]
17500 [9.9330e-02, 1.0030e-01]
17600 [9.9332e-02, 1.0031e-01]
17700 [9.9353e-02, 1.0029e-01]
17800 [9.9322e-02, 1.0031e-01]
17900 [9.9337e-02, 1.0031e-01]
18000 [9.9338e-02, 1.0031e-01]
18100 [9.9342e-02, 1.0031e-01]
18200 [9.9342e-02, 1.0032e-01]
18300 [9.9342e-02, 1.0032e-01]
18400 [9.9344e-02, 1.0033e-01]
18500 [9.9347e-02, 1.0033e-01]
18600 [9.9354e-02, 1.0033e-01]
18700 [9.9350e-02, 1.0033e-01]
18800 [9.9352e-02, 1.0034e-01]
18900 [9.9353e-02, 1.0034e-01]
19000 [9.9343e-02, 1.0034e-01]
19100 [9.9359e-02, 1.0034e-01]
19200 [9.9359e-02, 1.0035e-01]
19300 [9.9327e-02, 1.0034e-01]
19400 [9.9364e-02, 1.0035e-01]
19500 [9.9380e-02, 1.0033e-01]
19600 [9.9367e-02, 1.0036e-01]
19700 [9.9368e-02, 1.0036e-01]
19800 [9.9373e-02, 1.0036e-01]
19900 [9.9374e-02, 1.0036e-01]
20000 [9.9374e-02, 1.0036e-01]
20100 [9.9379e-02, 1.0036e-01]
