0 [1.0000e-01, 1.1000e+00]
100 [-1.6310e-01, 1.3789e+00]
200 [3.8476e-02, 1.6947e+00]
300 [4.0005e-02, 1.9076e+00]
400 [6.1646e-02, 2.0644e+00]
500 [5.1126e-02, 2.1572e+00]
600 [3.1098e-02, 2.2075e+00]
700 [3.0672e-02, 2.2325e+00]
800 [2.7527e-02, 2.2368e+00]
900 [3.0684e-02, 2.2239e+00]
1000 [3.4620e-02, 2.1952e+00]
1100 [3.4761e-02, 2.1530e+00]
1200 [3.5823e-02, 2.1010e+00]
1300 [3.8700e-02, 2.0398e+00]
1400 [4.1081e-02, 1.9709e+00]
1500 [4.5047e-02, 1.8961e+00]
1600 [4.6433e-02, 1.8151e+00]
1700 [4.9027e-02, 1.7312e+00]
1800 [5.2144e-02, 1.6470e+00]
1900 [5.5493e-02, 1.5650e+00]
2000 [5.8001e-02, 1.4864e+00]
2100 [6.1079e-02, 1.4182e+00]
2200 [6.2549e-02, 1.3607e+00]
2300 [6.7685e-02, 1.3145e+00]
2400 [6.8981e-02, 1.2752e+00]
2500 [7.3551e-02, 1.2455e+00]
2600 [7.2436e-02, 1.2210e+00]
2700 [7.3808e-02, 1.2030e+00]
2800 [7.4783e-02, 1.1840e+00]
2900 [7.5729e-02, 1.1703e+00]
3000 [7.6979e-02, 1.1576e+00]
3100 [7.9801e-02, 1.1484e+00]
3200 [7.9209e-02, 1.1419e+00]
3300 [8.0224e-02, 1.1373e+00]
3400 [8.0779e-02, 1.1246e+00]
3500 [8.2257e-02, 1.1209e+00]
3600 [8.1825e-02, 1.1169e+00]
3700 [8.1983e-02, 1.1097e+00]
3800 [8.3017e-02, 1.1071e+00]
3900 [8.3656e-02, 1.1043e+00]
4000 [8.4420e-02, 1.1005e+00]
4100 [8.5920e-02, 1.0936e+00]
4200 [8.5695e-02, 1.0920e+00]
4300 [8.5510e-02, 1.0901e+00]
4400 [8.5641e-02, 1.0873e+00]
4500 [8.6463e-02, 1.0847e+00]
4600 [8.6659e-02, 1.0825e+00]
4700 [8.7095e-02, 1.0770e+00]
4800 [8.7046e-02, 1.0728e+00]
4900 [8.7559e-02, 1.0726e+00]
5000 [8.8182e-02, 1.0715e+00]
5100 [8.8314e-02, 1.0689e+00]
5200 [8.8200e-02, 1.0681e+00]
5300 [8.9303e-02, 1.0650e+00]
5400 [8.9162e-02, 1.0600e+00]
5500 [9.0094e-02, 1.0603e+00]
5600 [9.0048e-02, 1.0576e+00]
5700 [9.0799e-02, 1.0564e+00]
5800 [9.0990e-02, 1.0533e+00]
5900 [9.1320e-02, 1.0522e+00]
6000 [9.1788e-02, 1.0508e+00]
6100 [9.2103e-02, 1.0471e+00]
6200 [9.2944e-02, 1.0477e+00]
6300 [9.0932e-02, 1.0426e+00]
6400 [9.2482e-02, 1.0464e+00]
6500 [9.1261e-02, 1.0440e+00]
6600 [9.3299e-02, 1.0418e+00]
6700 [9.3954e-02, 1.0383e+00]
6800 [9.3617e-02, 1.0396e+00]
6900 [9.3968e-02, 1.0381e+00]
7000 [9.3358e-02, 1.0367e+00]
7100 [9.2301e-02, 1.0338e+00]
7200 [9.4022e-02, 1.0356e+00]
7300 [9.2959e-02, 1.0340e+00]
7400 [9.4745e-02, 1.0330e+00]
7500 [9.1442e-02, 1.0343e+00]
7600 [9.4228e-02, 1.0305e+00]
7700 [9.4836e-02, 1.0324e+00]
7800 [9.4850e-02, 1.0295e+00]
7900 [9.5325e-02, 1.0308e+00]
8000 [9.4183e-02, 1.0310e+00]
8100 [9.5654e-02, 1.0283e+00]
8200 [9.5282e-02, 1.0304e+00]
8300 [9.5634e-02, 1.0284e+00]
8400 [9.5270e-02, 1.0264e+00]
8500 [9.5325e-02, 1.0308e+00]
8600 [9.5342e-02, 1.0245e+00]
8700 [9.5772e-02, 1.0257e+00]
8800 [9.6078e-02, 1.0261e+00]
8900 [9.5837e-02, 1.0278e+00]
9000 [9.5648e-02, 1.0244e+00]
9100 [9.5128e-02, 1.0262e+00]
9200 [9.6255e-02, 1.0249e+00]
9300 [9.6814e-02, 1.0236e+00]
9400 [9.6664e-02, 1.0273e+00]
9500 [9.6804e-02, 1.0239e+00]
9600 [9.5394e-02, 1.0232e+00]
9700 [9.6698e-02, 1.0262e+00]
9800 [9.6983e-02, 1.0251e+00]
9900 [9.4689e-02, 1.0314e+00]
10000 [9.5012e-02, 1.0214e+00]
10000 [9.5012e-02, 1.0214e+00]
10100 [9.3867e-02, 1.0413e+00]
10200 [9.5225e-02, 1.0389e+00]
10300 [9.5674e-02, 1.0351e+00]
10400 [9.5940e-02, 1.0314e+00]
10500 [9.6182e-02, 1.0283e+00]
10600 [9.6410e-02, 1.0259e+00]
10700 [9.6620e-02, 1.0239e+00]
10800 [9.6812e-02, 1.0224e+00]
10900 [9.6986e-02, 1.0212e+00]
11000 [9.7142e-02, 1.0202e+00]
11100 [9.7260e-02, 1.0202e+00]
11200 [9.7402e-02, 1.0193e+00]
11300 [9.7578e-02, 1.0194e+00]
11400 [9.7616e-02, 1.0185e+00]
11500 [9.7705e-02, 1.0188e+00]
11600 [9.7801e-02, 1.0177e+00]
11700 [9.7796e-02, 1.0183e+00]
11800 [9.7954e-02, 1.0172e+00]
11900 [9.8043e-02, 1.0175e+00]
12000 [9.7759e-02, 1.0157e+00]
12100 [9.8176e-02, 1.0166e+00]
12200 [9.8254e-02, 1.0166e+00]
12300 [9.8339e-02, 1.0162e+00]
12400 [9.8439e-02, 1.0156e+00]
12500 [9.8555e-02, 1.0156e+00]
12600 [9.8624e-02, 1.0157e+00]
12700 [9.8687e-02, 1.0153e+00]
12800 [9.8688e-02, 1.0150e+00]
12900 [9.8759e-02, 1.0149e+00]
13000 [9.8813e-02, 1.0152e+00]
13100 [9.8894e-02, 1.0155e+00]
13200 [9.8927e-02, 1.0138e+00]
13300 [9.8919e-02, 1.0148e+00]
13400 [9.8674e-02, 1.0121e+00]
13500 [9.8165e-02, 1.0134e+00]
13600 [9.9164e-02, 1.0131e+00]
