0 [0.0000e+00, 0.0000e+00]
14500 [1.0037e-01, 9.9975e-02]
14600 [1.0038e-01, 9.9966e-02]
14700 [1.0039e-01, 9.9958e-02]
14800 [1.0039e-01, 9.9947e-02]
14900 [1.0040e-01, 9.9944e-02]
15000 [1.0040e-01, 9.9933e-02]
15100 [1.0042e-01, 9.9923e-02]
15200 [1.0039e-01, 9.9918e-02]
15300 [1.0042e-01, 9.9913e-02]
15400 [1.0043e-01, 9.9907e-02]
15500 [1.0043e-01, 9.9899e-02]
15600 [1.0045e-01, 9.9887e-02]
15700 [1.0044e-01, 9.9886e-02]
15800 [1.0045e-01, 9.9878e-02]
15900 [1.0045e-01, 9.9871e-02]
16000 [1.0046e-01, 9.9863e-02]
16100 [1.0045e-01, 9.9857e-02]
16200 [1.0047e-01, 9.9849e-02]
16300 [1.0047e-01, 9.9839e-02]
16400 [1.0046e-01, 9.9830e-02]
16500 [1.0048e-01, 9.9828e-02]
16600 [1.0049e-01, 9.9818e-02]
16700 [1.0049e-01, 9.9814e-02]
16800 [1.0049e-01, 9.9810e-02]
16900 [1.0050e-01, 9.9800e-02]
17000 [1.0050e-01, 9.9792e-02]
17100 [1.0050e-01, 9.9787e-02]
17200 [1.0050e-01, 9.9781e-02]
17300 [1.0051e-01, 9.9773e-02]
17400 [1.0051e-01, 9.9767e-02]
17500 [1.0052e-01, 9.9751e-02]
17600 [1.0050e-01, 9.9757e-02]
17700 [1.0052e-01, 9.9748e-02]
17800 [1.0052e-01, 9.9746e-02]
17900 [1.0053e-01, 9.9724e-02]
18000 [1.0053e-01, 9.9729e-02]
18100 [1.0053e-01, 9.9722e-02]
18200 [1.0053e-01, 9.9715e-02]
18300 [1.0054e-01, 9.9710e-02]
18400 [1.0054e-01, 9.9704e-02]
18500 [1.0054e-01, 9.9698e-02]
18600 [1.0055e-01, 9.9694e-02]
18700 [1.0054e-01, 9.9687e-02]
18800 [1.0055e-01, 9.9680e-02]
18900 [1.0054e-01, 9.9675e-02]
19000 [1.0055e-01, 9.9669e-02]
19100 [1.0056e-01, 9.9664e-02]
19200 [1.0055e-01, 9.9652e-02]
19300 [1.0055e-01, 9.9655e-02]
19400 [1.0054e-01, 9.9674e-02]
19500 [1.0057e-01, 9.9648e-02]
19600 [1.0056e-01, 9.9635e-02]
19700 [1.0056e-01, 9.9632e-02]
19800 [1.0056e-01, 9.9625e-02]
19900 [1.0056e-01, 9.9618e-02]
20000 [1.0056e-01, 9.9613e-02]
20100 [1.0057e-01, 9.9610e-02]
20200 [1.0057e-01, 9.9603e-02]
20300 [1.0057e-01, 9.9596e-02]
20400 [1.0057e-01, 9.9591e-02]
20500 [1.0058e-01, 9.9608e-02]
20600 [1.0057e-01, 9.9581e-02]
20700 [1.0057e-01, 9.9576e-02]
20800 [1.0057e-01, 9.9574e-02]
20900 [1.0057e-01, 9.9567e-02]
21000 [1.0057e-01, 9.9561e-02]
21100 [1.0057e-01, 9.9556e-02]
21200 [1.0057e-01, 9.9549e-02]
21300 [1.0057e-01, 9.9545e-02]
21400 [1.0058e-01, 9.9547e-02]
21500 [1.0056e-01, 9.9560e-02]
21600 [1.0058e-01, 9.9533e-02]
21700 [1.0057e-01, 9.9526e-02]
21800 [1.0056e-01, 9.9552e-02]
21900 [1.0058e-01, 9.9519e-02]
22000 [1.0057e-01, 9.9515e-02]
22100 [1.0058e-01, 9.9510e-02]
22200 [1.0058e-01, 9.9502e-02]
22300 [1.0060e-01, 9.9517e-02]
22400 [1.0058e-01, 9.9496e-02]
22500 [1.0058e-01, 9.9493e-02]
22600 [1.0058e-01, 9.9489e-02]
22700 [1.0058e-01, 9.9483e-02]
22800 [1.0058e-01, 9.9480e-02]
22900 [1.0058e-01, 9.9475e-02]
23000 [1.0058e-01, 9.9471e-02]
23100 [1.0058e-01, 9.9465e-02]
23200 [1.0058e-01, 9.9463e-02]
23300 [1.0055e-01, 9.9458e-02]
23400 [1.0058e-01, 9.9455e-02]
23500 [1.0058e-01, 9.9451e-02]
23600 [1.0058e-01, 9.9447e-02]
23700 [1.0058e-01, 9.9458e-02]
23800 [1.0058e-01, 9.9439e-02]
23900 [1.0058e-01, 9.9434e-02]
24000 [1.0059e-01, 9.9446e-02]
24100 [1.0059e-01, 9.9426e-02]
24200 [1.0058e-01, 9.9436e-02]
24300 [1.0058e-01, 9.9415e-02]
24400 [1.0058e-01, 9.9418e-02]
24500 [1.0058e-01, 9.9413e-02]
24600 [1.0059e-01, 9.9413e-02]
24700 [1.0058e-01, 9.9405e-02]
24800 [1.0058e-01, 9.9398e-02]
24900 [1.0059e-01, 9.9398e-02]
25000 [1.0059e-01, 9.9396e-02]
25100 [1.0058e-01, 9.9396e-02]
25200 [1.0057e-01, 9.9381e-02]
25300 [1.0058e-01, 9.9384e-02]
25400 [1.0058e-01, 9.9380e-02]
25500 [1.0058e-01, 9.9377e-02]
25600 [1.0058e-01, 9.9373e-02]
25700 [1.0057e-01, 9.9394e-02]
25800 [1.0060e-01, 9.9373e-02]
25900 [1.0058e-01, 9.9363e-02]
26000 [1.0059e-01, 9.9362e-02]
26100 [1.0058e-01, 9.9353e-02]
26200 [1.0060e-01, 9.9364e-02]
26300 [1.0059e-01, 9.9346e-02]
26400 [1.0057e-01, 9.9348e-02]
26500 [1.0058e-01, 9.9344e-02]
26600 [1.0058e-01, 9.9340e-02]
26700 [1.0058e-01, 9.9338e-02]
26800 [1.0058e-01, 9.9335e-02]
26900 [1.0058e-01, 9.9330e-02]
27000 [1.0058e-01, 9.9328e-02]
27100 [1.0059e-01, 9.9318e-02]
27200 [1.0057e-01, 9.9328e-02]
27300 [1.0058e-01, 9.9320e-02]
27400 [1.0058e-01, 9.9318e-02]
27500 [1.0058e-01, 9.9313e-02]
27600 [1.0059e-01, 9.9316e-02]
27700 [1.0058e-01, 9.9308e-02]
27800 [1.0058e-01, 9.9306e-02]
27900 [1.0058e-01, 9.9306e-02]
28000 [1.0058e-01, 9.9301e-02]
28100 [1.0058e-01, 9.9295e-02]
28200 [1.0058e-01, 9.9295e-02]
28300 [1.0058e-01, 9.9296e-02]
28400 [1.0058e-01, 9.9290e-02]
28500 [1.0058e-01, 9.9282e-02]
28600 [1.0058e-01, 9.9283e-02]
28700 [1.0058e-01, 9.9283e-02]
28800 [1.0058e-01, 9.9278e-02]
28900 [1.0058e-01, 9.9281e-02]
29000 [1.0058e-01, 9.9276e-02]
29100 [1.0058e-01, 9.9272e-02]
29200 [1.0058e-01, 9.9268e-02]
29300 [1.0058e-01, 9.9271e-02]
29400 [1.0058e-01, 9.9267e-02]
29500 [1.0058e-01, 9.9263e-02]
29600 [1.0058e-01, 9.9262e-02]
29700 [1.0058e-01, 9.9260e-02]
29800 [1.0058e-01, 9.9255e-02]
29900 [1.0058e-01, 9.9256e-02]
30000 [1.0058e-01, 9.9254e-02]
30100 [1.0058e-01, 9.9251e-02]
30200 [1.0057e-01, 9.9272e-02]
30300 [1.0058e-01, 9.9248e-02]
30400 [1.0058e-01, 9.9246e-02]
30500 [1.0058e-01, 9.9245e-02]
30600 [1.0058e-01, 9.9241e-02]
30700 [1.0058e-01, 9.9241e-02]
30800 [1.0059e-01, 9.9241e-02]
30900 [1.0058e-01, 9.9236e-02]
31000 [1.0056e-01, 9.9235e-02]
31100 [1.0058e-01, 9.9232e-02]
