0 [0.0000e+00, 0.0000e+00]
100 [1.3468e-03, 1.1711e-03]
200 [4.3155e-04, 4.1861e-03]
300 [4.3342e-03, 1.3768e-02]
400 [1.5505e-02, 3.1364e-02]
500 [3.2896e-02, 5.2581e-02]
600 [5.4067e-02, 7.2955e-02]
700 [6.5959e-02, 6.4626e-02]
800 [7.6140e-02, 6.9999e-02]
900 [8.0475e-02, 8.2511e-02]
1000 [9.1594e-02, 9.0495e-02]
1100 [9.9244e-02, 9.7205e-02]
1200 [9.8471e-02, 9.9455e-02]
1300 [9.8144e-02, 9.9461e-02]
1400 [9.8296e-02, 9.9232e-02]
1500 [9.8474e-02, 9.9006e-02]
1600 [9.8611e-02, 9.8821e-02]
1700 [9.8712e-02, 9.8676e-02]
1800 [9.8784e-02, 9.8561e-02]
1900 [9.8835e-02, 9.8486e-02]
2000 [9.8872e-02, 9.8429e-02]
2100 [9.8897e-02, 9.8386e-02]
2200 [9.8917e-02, 9.8355e-02]
2300 [9.8929e-02, 9.8340e-02]
2400 [9.8937e-02, 9.8324e-02]
2500 [9.8947e-02, 9.8321e-02]
2600 [9.8942e-02, 9.8310e-02]
2700 [9.8949e-02, 9.8326e-02]
2800 [9.8949e-02, 9.8332e-02]
2900 [9.8948e-02, 9.8336e-02]
3000 [9.8946e-02, 9.8344e-02]
3100 [9.8945e-02, 9.8353e-02]
3200 [9.8940e-02, 9.8362e-02]
3300 [9.8939e-02, 9.8371e-02]
3400 [9.8939e-02, 9.8381e-02]
3500 [9.8938e-02, 9.8391e-02]
3600 [9.8930e-02, 9.8395e-02]
3700 [9.8940e-02, 9.8407e-02]
3800 [9.8959e-02, 9.8418e-02]
3900 [9.8951e-02, 9.8422e-02]
4000 [9.8970e-02, 9.8431e-02]
4100 [9.8973e-02, 9.8434e-02]
4200 [9.8991e-02, 9.8438e-02]
4300 [9.9009e-02, 9.8445e-02]
4400 [9.9034e-02, 9.8449e-02]
4500 [9.9069e-02, 9.8465e-02]
4600 [9.9105e-02, 9.8468e-02]
4700 [9.9151e-02, 9.8478e-02]
4800 [9.9203e-02, 9.8484e-02]
4900 [9.9261e-02, 9.8511e-02]
5000 [9.9327e-02, 9.8535e-02]
5100 [9.9398e-02, 9.8569e-02]
5200 [9.9464e-02, 9.8607e-02]
5300 [9.9536e-02, 9.8646e-02]
5400 [9.9624e-02, 9.8690e-02]
5500 [9.9703e-02, 9.8731e-02]
