14400 [6.4312e-03, 1.5152e+01]
14500 [6.2050e-03, 1.5192e+01]
14600 [6.7793e-03, 1.5226e+01]
14700 [5.9017e-03, 1.5259e+01]
14800 [5.6004e-03, 1.5293e+01]
14900 [2.9005e-03, 1.5319e+01]
15000 [1.3775e-04, 1.5353e+01]
15100 [5.7882e-03, 1.5396e+01]
15200 [-2.0471e-03, 1.5433e+01]
15300 [6.1489e-03, 1.5490e+01]
15400 [4.7083e-03, 1.5544e+01]
15500 [2.4358e-03, 1.5554e+01]
15600 [7.4785e-03, 1.5578e+01]
15700 [5.6922e-03, 1.5590e+01]
15800 [4.7019e-03, 1.5607e+01]
15900 [3.0703e-03, 1.5599e+01]
16000 [4.6246e-03, 1.5604e+01]
16100 [4.1983e-03, 1.5608e+01]
16200 [4.0483e-03, 1.5659e+01]
16300 [-1.4061e-03, 1.5667e+01]
16400 [4.3249e-03, 1.5674e+01]
16500 [4.5477e-03, 1.5645e+01]
16600 [4.9827e-03, 1.5610e+01]
16700 [4.7047e-03, 1.5595e+01]
16800 [4.2622e-03, 1.5560e+01]
16900 [4.0047e-03, 1.5512e+01]
17000 [4.1773e-03, 1.5470e+01]
17100 [3.6228e-03, 1.5416e+01]
17200 [4.8543e-03, 1.5382e+01]
17300 [4.1656e-03, 1.5317e+01]
17400 [3.9035e-03, 1.5249e+01]
17500 [3.6508e-03, 1.5170e+01]
17600 [4.3943e-03, 1.5124e+01]
17700 [2.6891e-03, 1.5039e+01]
17800 [3.7537e-03, 1.4974e+01]
17900 [3.8157e-03, 1.4883e+01]
18000 [3.8064e-03, 1.4788e+01]
18100 [3.6970e-03, 1.4692e+01]
18200 [3.8540e-03, 1.4594e+01]
18300 [3.8802e-03, 1.4495e+01]
18400 [3.8406e-03, 1.4393e+01]
18500 [3.8555e-03, 1.4289e+01]
18600 [3.9222e-03, 1.4184e+01]
18700 [3.8691e-03, 1.4078e+01]
18800 [3.8812e-03, 1.3971e+01]
18900 [3.8833e-03, 1.3862e+01]
19000 [3.7138e-03, 1.3752e+01]
19100 [3.7108e-03, 1.3643e+01]
19200 [3.7241e-03, 1.3533e+01]
19300 [3.9092e-03, 1.3421e+01]
19400 [3.4579e-03, 1.3310e+01]
19500 [2.1060e-03, 1.3343e+01]
19600 [3.6377e-03, 1.3219e+01]
19700 [3.5134e-03, 1.3114e+01]
19800 [3.5852e-03, 1.3013e+01]
19900 [-2.4575e-04, 1.2916e+01]
20000 [3.6809e-03, 1.2901e+01]
20000 [3.6809e-03, 1.2901e+01]
20100 [3.5677e-03, 1.2891e+01]
20200 [3.7749e-03, 1.2879e+01]
20300 [3.7036e-03, 1.2867e+01]
20400 [3.5628e-03, 1.2856e+01]
20500 [3.4378e-03, 1.2844e+01]
20600 [3.3585e-03, 1.2833e+01]
20700 [3.3008e-03, 1.2822e+01]
20800 [3.2913e-03, 1.2810e+01]
20900 [3.2727e-03, 1.2799e+01]
21000 [3.2548e-03, 1.2788e+01]
21100 [3.2729e-03, 1.2777e+01]
21200 [3.3100e-03, 1.2766e+01]
21300 [3.3560e-03, 1.2755e+01]
21400 [3.3683e-03, 1.2743e+01]
21500 [3.4301e-03, 1.2732e+01]
21600 [3.4461e-03, 1.2721e+01]
21700 [3.5188e-03, 1.2710e+01]
21800 [3.6283e-03, 1.2699e+01]
21900 [3.6428e-03, 1.2688e+01]
22000 [3.6979e-03, 1.2677e+01]
22100 [3.7303e-03, 1.2666e+01]
22200 [3.7813e-03, 1.2655e+01]
22300 [3.7244e-03, 1.2644e+01]
22400 [3.7964e-03, 1.2634e+01]
22500 [3.7455e-03, 1.2623e+01]
22600 [3.7874e-03, 1.2612e+01]
22700 [3.7843e-03, 1.2601e+01]
22800 [3.7684e-03, 1.2591e+01]
22900 [3.8135e-03, 1.2580e+01]
23000 [3.7662e-03, 1.2570e+01]
23100 [3.7715e-03, 1.2559e+01]
23200 [3.8062e-03, 1.2548e+01]
23300 [3.8051e-03, 1.2538e+01]
23400 [3.7768e-03, 1.2528e+01]
23500 [3.7859e-03, 1.2517e+01]
23600 [3.7550e-03, 1.2507e+01]
23700 [3.6839e-03, 1.2496e+01]
23800 [3.7261e-03, 1.2486e+01]
23900 [3.7537e-03, 1.2476e+01]
24000 [3.6896e-03, 1.2466e+01]
24100 [3.7693e-03, 1.2455e+01]
24200 [3.7710e-03, 1.2445e+01]
24300 [3.6952e-03, 1.2435e+01]
24400 [3.7412e-03, 1.2425e+01]
24500 [3.7923e-03, 1.2414e+01]
24600 [3.8132e-03, 1.2404e+01]
24700 [3.7544e-03, 1.2394e+01]
24800 [3.8100e-03, 1.2384e+01]
24900 [3.9103e-03, 1.2374e+01]
25000 [3.9114e-03, 1.2363e+01]
25100 [3.9455e-03, 1.2353e+01]
25200 [3.9081e-03, 1.2343e+01]
25300 [3.9982e-03, 1.2333e+01]
25400 [3.8889e-03, 1.2323e+01]
25500 [4.0517e-03, 1.2313e+01]
25600 [4.0515e-03, 1.2303e+01]
25700 [4.0924e-03, 1.2292e+01]
25800 [4.1837e-03, 1.2282e+01]
25900 [4.1679e-03, 1.2272e+01]
26000 [4.2318e-03, 1.2262e+01]
26100 [4.2702e-03, 1.2252e+01]
26200 [4.2247e-03, 1.2242e+01]
26300 [4.3049e-03, 1.2232e+01]
26400 [4.2960e-03, 1.2222e+01]
26500 [4.3462e-03, 1.2212e+01]
26600 [4.3819e-03, 1.2201e+01]
26700 [4.4431e-03, 1.2191e+01]
26800 [4.4374e-03, 1.2181e+01]
26900 [4.4488e-03, 1.2171e+01]
27000 [4.5425e-03, 1.2161e+01]
27100 [4.4999e-03, 1.2151e+01]
27200 [4.7153e-03, 1.2141e+01]
27300 [4.6856e-03, 1.2131e+01]
27400 [4.6992e-03, 1.2121e+01]
27500 [4.6944e-03, 1.2111e+01]
27600 [4.7059e-03, 1.2101e+01]
27700 [4.7670e-03, 1.2091e+01]
27800 [4.7683e-03, 1.2081e+01]
27900 [4.8417e-03, 1.2071e+01]
28000 [4.8804e-03, 1.2061e+01]
28100 [4.9254e-03, 1.2050e+01]
28200 [5.0321e-03, 1.2040e+01]
28300 [4.9776e-03, 1.2030e+01]
28400 [5.0059e-03, 1.2020e+01]
28500 [5.0751e-03, 1.2010e+01]
28600 [5.1604e-03, 1.2000e+01]
28700 [5.1523e-03, 1.1990e+01]
28800 [5.1833e-03, 1.1981e+01]
28900 [5.1929e-03, 1.1971e+01]
29000 [5.2184e-03, 1.1961e+01]
29100 [5.2596e-03, 1.1951e+01]
29200 [5.2882e-03, 1.1941e+01]
29300 [5.3380e-03, 1.1931e+01]
29400 [5.3624e-03, 1.1921e+01]
29500 [5.3658e-03, 1.1911e+01]
29600 [5.3799e-03, 1.1901e+01]
29700 [5.4078e-03, 1.1891e+01]
29800 [5.4811e-03, 1.1881e+01]
29900 [5.4950e-03, 1.1871e+01]
30000 [5.4963e-03, 1.1861e+01]
