0 [0.0000e+00, 0.0000e+00]
100 [5.6740e-03, -1.0808e-02]
200 [2.6819e-02, -1.3849e-02]
300 [5.3246e-02, -5.9914e-03]
400 [7.7329e-02, 9.4221e-03]
500 [9.9366e-02, 3.4289e-02]
600 [1.1848e-01, 7.1519e-02]
700 [9.3653e-02, 5.9549e-02]
800 [6.2240e-02, 6.0997e-02]
900 [8.5294e-02, 8.1923e-02]
1000 [9.8939e-02, 9.1865e-02]
1100 [1.0229e-01, 9.6050e-02]
1200 [1.0272e-01, 9.7327e-02]
1300 [1.0254e-01, 9.7689e-02]
1400 [1.0228e-01, 9.7855e-02]
1500 [1.0202e-01, 9.7927e-02]
1600 [1.0176e-01, 9.7913e-02]
1700 [1.0149e-01, 9.7836e-02]
1800 [1.0122e-01, 9.7715e-02]
1900 [1.0094e-01, 9.7577e-02]
2000 [1.0066e-01, 9.7428e-02]
2100 [1.0041e-01, 9.7301e-02]
2200 [1.0020e-01, 9.7202e-02]
2300 [1.0003e-01, 9.7128e-02]
2400 [9.9881e-02, 9.7079e-02]
2500 [9.9764e-02, 9.7053e-02]
2600 [9.9651e-02, 9.7044e-02]
2700 [9.9535e-02, 9.7047e-02]
2800 [9.9409e-02, 9.7067e-02]
2900 [9.9268e-02, 9.7098e-02]
3000 [9.9112e-02, 9.7142e-02]
3100 [9.8946e-02, 9.7209e-02]
3200 [9.8792e-02, 9.7260e-02]
3300 [9.8643e-02, 9.7331e-02]
3400 [9.8534e-02, 9.7394e-02]
3500 [9.8444e-02, 9.7463e-02]
3600 [9.8384e-02, 9.7533e-02]
3700 [9.8338e-02, 9.7606e-02]
3800 [9.8295e-02, 9.7696e-02]
3900 [9.8280e-02, 9.7782e-02]
4000 [9.8254e-02, 9.7891e-02]
4100 [9.8245e-02, 9.8002e-02]
4200 [9.8238e-02, 9.8118e-02]
4300 [9.8235e-02, 9.8254e-02]
4400 [9.8242e-02, 9.8389e-02]
4500 [9.8251e-02, 9.8518e-02]
4600 [9.8258e-02, 9.8647e-02]
4700 [9.8291e-02, 9.8772e-02]
4800 [9.8316e-02, 9.8893e-02]
4900 [9.8346e-02, 9.9007e-02]
5000 [9.8373e-02, 9.9115e-02]
5100 [9.8405e-02, 9.9214e-02]
5200 [9.8434e-02, 9.9313e-02]
5300 [9.8460e-02, 9.9403e-02]
5400 [9.8484e-02, 9.9492e-02]
5500 [9.8505e-02, 9.9575e-02]
5600 [9.8521e-02, 9.9659e-02]
5700 [9.8535e-02, 9.9740e-02]
5800 [9.8545e-02, 9.9813e-02]
5900 [9.8553e-02, 9.9885e-02]
6000 [9.8559e-02, 9.9959e-02]
6100 [9.8574e-02, 1.0001e-01]
6200 [9.8566e-02, 1.0009e-01]
6300 [9.8569e-02, 1.0015e-01]
6400 [9.8570e-02, 1.0021e-01]
6500 [9.8572e-02, 1.0027e-01]
6600 [9.8568e-02, 1.0032e-01]
6700 [9.8575e-02, 1.0037e-01]
6800 [9.8574e-02, 1.0041e-01]
6900 [9.8579e-02, 1.0044e-01]
7000 [9.8577e-02, 1.0048e-01]
7100 [9.8595e-02, 1.0051e-01]
7200 [9.8583e-02, 1.0054e-01]
7300 [9.8596e-02, 1.0056e-01]
7400 [9.8581e-02, 1.0059e-01]
7500 [9.8596e-02, 1.0061e-01]
7600 [9.8601e-02, 1.0063e-01]
7700 [9.8605e-02, 1.0065e-01]
