14500 [1.4679e-02, 1.0173e+01]
14600 [5.7004e-03, 1.0207e+01]
14700 [2.0287e-02, 1.0242e+01]
14800 [1.7667e-02, 1.0287e+01]
14900 [1.3495e-02, 1.0313e+01]
15000 [2.1103e-02, 1.0374e+01]
15100 [2.0423e-02, 1.0381e+01]
15200 [1.7432e-02, 1.0429e+01]
15300 [1.2976e-02, 1.0452e+01]
15400 [2.0316e-02, 1.0468e+01]
15500 [2.2141e-02, 1.0539e+01]
15600 [2.0046e-02, 1.0542e+01]
15700 [2.1185e-02, 1.0560e+01]
15800 [1.9918e-02, 1.0568e+01]
15900 [2.1208e-02, 1.0572e+01]
16000 [2.0357e-02, 1.0565e+01]
16100 [1.7214e-02, 1.0617e+01]
16200 [2.0163e-02, 1.0628e+01]
16300 [1.9993e-02, 1.0631e+01]
16400 [2.0727e-02, 1.0628e+01]
16500 [2.0965e-02, 1.0617e+01]
16600 [2.0708e-02, 1.0600e+01]
16700 [2.2283e-02, 1.0591e+01]
16800 [1.7105e-02, 1.0615e+01]
16900 [2.1634e-02, 1.0603e+01]
17000 [2.1254e-02, 1.0563e+01]
17100 [2.1394e-02, 1.0522e+01]
17200 [2.1625e-02, 1.0501e+01]
17300 [2.2248e-02, 1.0453e+01]
17400 [2.2738e-02, 1.0403e+01]
17500 [2.2610e-02, 1.0346e+01]
17600 [2.2694e-02, 1.0287e+01]
17700 [2.3310e-02, 1.0224e+01]
17800 [2.3206e-02, 1.0157e+01]
17900 [2.3739e-02, 1.0088e+01]
18000 [2.4141e-02, 1.0016e+01]
18100 [2.5372e-02, 9.9471e+00]
18200 [2.4205e-02, 9.8832e+00]
18300 [2.4879e-02, 9.8113e+00]
18400 [2.4878e-02, 9.7293e+00]
18500 [2.4586e-02, 9.6557e+00]
18600 [2.5419e-02, 9.5789e+00]
18700 [8.9153e-03, 9.5665e+00]
18800 [2.1598e-02, 9.5742e+00]
18900 [2.2311e-02, 9.5142e+00]
19000 [2.3624e-02, 9.4695e+00]
19100 [2.3561e-02, 9.4276e+00]
19200 [2.4059e-02, 9.3895e+00]
19300 [2.5128e-02, 9.3540e+00]
19400 [2.4562e-02, 9.3268e+00]
19500 [2.5409e-02, 9.2989e+00]
19600 [2.7101e-02, 9.2787e+00]
19700 [2.7231e-02, 9.2531e+00]
19800 [2.6328e-02, 9.2264e+00]
19900 [2.7037e-02, 9.2046e+00]
20000 [2.7703e-02, 9.1849e+00]
20000 [2.7703e-02, 9.1849e+00]
20100 [6.6579e-03, 9.2355e+00]
20200 [9.0453e-03, 9.2856e+00]
20300 [4.8313e-03, 9.3340e+00]
20400 [1.5253e-02, 9.3846e+00]
20500 [2.6451e-02, 9.4354e+00]
20600 [3.8000e-02, 9.4855e+00]
20700 [4.6571e-02, 9.5340e+00]
20800 [4.8401e-02, 9.5815e+00]
20900 [4.7764e-02, 9.6284e+00]
21000 [4.4304e-02, 9.6744e+00]
21100 [4.1640e-02, 9.7199e+00]
21200 [4.0315e-02, 9.7660e+00]
21300 [3.8062e-02, 9.8126e+00]
21400 [3.4486e-02, 9.8585e+00]
21500 [3.2674e-02, 9.9031e+00]
21600 [3.3994e-02, 9.9462e+00]
21700 [3.5872e-02, 9.9877e+00]
21800 [3.5360e-02, 1.0027e+01]
21900 [3.4556e-02, 1.0064e+01]
22000 [3.2728e-02, 1.0097e+01]
22100 [3.0939e-02, 1.0127e+01]
22200 [2.8656e-02, 1.0154e+01]
22300 [2.7961e-02, 1.0178e+01]
22400 [2.8331e-02, 1.0199e+01]
22500 [2.9126e-02, 1.0219e+01]
22600 [2.9588e-02, 1.0238e+01]
22700 [3.0170e-02, 1.0255e+01]
22800 [3.0689e-02, 1.0271e+01]
22900 [3.0200e-02, 1.0286e+01]
23000 [2.9227e-02, 1.0302e+01]
23100 [2.7793e-02, 1.0317e+01]
23200 [2.6470e-02, 1.0331e+01]
23300 [2.5745e-02, 1.0342e+01]
23400 [2.5730e-02, 1.0351e+01]
23500 [2.6225e-02, 1.0357e+01]
23600 [2.5940e-02, 1.0361e+01]
23700 [2.5886e-02, 1.0362e+01]
23800 [2.5726e-02, 1.0361e+01]
23900 [2.5622e-02, 1.0357e+01]
24000 [2.5995e-02, 1.0351e+01]
24100 [2.7015e-02, 1.0341e+01]
24200 [2.7570e-02, 1.0329e+01]
24300 [2.7248e-02, 1.0314e+01]
24400 [2.8562e-02, 1.0295e+01]
24500 [2.9398e-02, 1.0274e+01]
24600 [2.9223e-02, 1.0249e+01]
24700 [2.8914e-02, 1.0220e+01]
24800 [2.9130e-02, 1.0188e+01]
24900 [2.9332e-02, 1.0153e+01]
25000 [2.9655e-02, 1.0113e+01]
25100 [2.9995e-02, 1.0070e+01]
25200 [3.0067e-02, 1.0024e+01]
25300 [2.9403e-02, 9.9754e+00]
25400 [2.8971e-02, 9.9237e+00]
25500 [2.8798e-02, 9.8701e+00]
25600 [2.8264e-02, 9.8148e+00]
25700 [2.8621e-02, 9.7582e+00]
25800 [2.8279e-02, 9.7005e+00]
25900 [2.8005e-02, 9.6423e+00]
26000 [2.8092e-02, 9.5835e+00]
26100 [2.8382e-02, 9.5242e+00]
26200 [2.7865e-02, 9.4647e+00]
26300 [2.8433e-02, 9.4060e+00]
26400 [2.8486e-02, 9.3471e+00]
26500 [2.8666e-02, 9.2882e+00]
26600 [2.8713e-02, 9.2291e+00]
26700 [2.9013e-02, 9.1698e+00]
26800 [2.9389e-02, 9.1103e+00]
26900 [2.9349e-02, 9.0507e+00]
27000 [2.9965e-02, 8.9911e+00]
27100 [2.9889e-02, 8.9315e+00]
27200 [3.0552e-02, 8.8719e+00]
27300 [3.0526e-02, 8.8124e+00]
27400 [3.0891e-02, 8.7528e+00]
27500 [3.1493e-02, 8.6934e+00]
27600 [3.1861e-02, 8.6340e+00]
27700 [3.2154e-02, 8.5747e+00]
27800 [3.2491e-02, 8.5155e+00]
27900 [3.2927e-02, 8.4563e+00]
28000 [3.3428e-02, 8.3973e+00]
28100 [3.3869e-02, 8.3384e+00]
28200 [3.4135e-02, 8.2796e+00]
28300 [3.4142e-02, 8.2208e+00]
28400 [3.3877e-02, 8.1622e+00]
28500 [3.5222e-02, 8.1040e+00]
28600 [3.6083e-02, 8.0456e+00]
28700 [3.6442e-02, 7.9874e+00]
28800 [3.6709e-02, 7.9292e+00]
28900 [3.5985e-02, 7.8711e+00]
29000 [3.6408e-02, 7.8134e+00]
29100 [3.7954e-02, 7.7561e+00]
29200 [3.8030e-02, 7.6988e+00]
29300 [3.7711e-02, 7.6416e+00]
29400 [3.9151e-02, 7.5847e+00]
29500 [3.9228e-02, 7.5279e+00]
29600 [3.9888e-02, 7.4709e+00]
29700 [3.8816e-02, 7.4139e+00]
29800 [4.0665e-02, 7.3574e+00]
29900 [4.0488e-02, 7.3006e+00]
30000 [4.1311e-02, 7.2441e+00]
30000 [4.1311e-02, 7.2441e+00]
30100 [4.1188e-02, 7.2349e+00]
30200 [4.2332e-02, 7.2246e+00]
30300 [4.3043e-02, 7.2140e+00]
30400 [4.3440e-02, 7.2032e+00]
30500 [4.3696e-02, 7.1924e+00]
30600 [4.3884e-02, 7.1816e+00]
30700 [4.4031e-02, 7.1708e+00]
30800 [4.4151e-02, 7.1600e+00]
30900 [4.4020e-02, 7.1492e+00]
31000 [4.4267e-02, 7.1384e+00]
31100 [4.4401e-02, 7.1277e+00]
31200 [4.4435e-02, 7.1170e+00]
31300 [4.4306e-02, 7.1063e+00]
31400 [4.4425e-02, 7.0955e+00]
31500 [4.4660e-02, 7.0848e+00]
31600 [4.4736e-02, 7.0741e+00]
31700 [4.5020e-02, 7.0634e+00]
31800 [4.5271e-02, 7.0527e+00]
31900 [4.5426e-02, 7.0421e+00]
32000 [4.5561e-02, 7.0314e+00]
32100 [4.5790e-02, 7.0207e+00]
32200 [4.5861e-02, 7.0100e+00]
32300 [4.5874e-02, 6.9994e+00]
32400 [4.6098e-02, 6.9887e+00]
32500 [4.6276e-02, 6.9781e+00]
32600 [4.6307e-02, 6.9674e+00]
32700 [4.6616e-02, 6.9568e+00]
32800 [4.6527e-02, 6.9462e+00]
32900 [4.6821e-02, 6.9356e+00]
33000 [4.6172e-02, 6.9249e+00]
33100 [4.7168e-02, 6.9144e+00]
33200 [4.7159e-02, 6.9037e+00]
33300 [4.7343e-02, 6.8931e+00]
33400 [4.7381e-02, 6.8826e+00]
33500 [4.7433e-02, 6.8720e+00]
33600 [4.7363e-02, 6.8614e+00]
33700 [4.7446e-02, 6.8508e+00]
33800 [4.7643e-02, 6.8402e+00]
33900 [4.7615e-02, 6.8296e+00]
34000 [4.7310e-02, 6.8190e+00]
34100 [4.7792e-02, 6.8085e+00]
34200 [4.7830e-02, 6.7979e+00]
34300 [4.7898e-02, 6.7873e+00]
34400 [4.7994e-02, 6.7768e+00]
34500 [4.7738e-02, 6.7662e+00]
34600 [4.7778e-02, 6.7556e+00]
34700 [4.7947e-02, 6.7450e+00]
34800 [4.8089e-02, 6.7345e+00]
34900 [4.8028e-02, 6.7239e+00]
35000 [4.7899e-02, 6.7133e+00]
35100 [4.8186e-02, 6.7028e+00]
35200 [4.7832e-02, 6.6922e+00]
35300 [4.8313e-02, 6.6817e+00]
35400 [4.8314e-02, 6.6711e+00]
35500 [4.8146e-02, 6.6605e+00]
35600 [4.8447e-02, 6.6500e+00]
35700 [4.8562e-02, 6.6394e+00]
35800 [4.8411e-02, 6.6289e+00]
35900 [4.8498e-02, 6.6184e+00]
36000 [4.8276e-02, 6.6078e+00]
36100 [4.8683e-02, 6.5973e+00]
36200 [4.8327e-02, 6.5868e+00]
36300 [4.8642e-02, 6.5763e+00]
36400 [4.8394e-02, 6.5658e+00]
36500 [4.8619e-02, 6.5553e+00]
36600 [4.8927e-02, 6.5448e+00]
36700 [4.8948e-02, 6.5343e+00]
36800 [4.8776e-02, 6.5239e+00]
36900 [4.9243e-02, 6.5134e+00]
37000 [4.9071e-02, 6.5030e+00]
37100 [4.9340e-02, 6.4925e+00]
37200 [4.9163e-02, 6.4821e+00]
