# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.028631210327148438e+00 9.511241912841796875e-01 1.748712062835693359e+00 3.476643562316894531e-01 8.198783397674560547e-01 3.077754020690917969e+00 9.511241912841796875e-01 1.748712062835693359e+00 3.476643562316894531e-01 8.198783397674560547e-01
1.000000000000000000e+03 5.810822360217571259e-03 7.942296564579010010e-02 2.125634625554084778e-02 9.989514946937561035e-03 1.027708500623703003e-02 3.428602125495672226e-03 7.942296564579010010e-02 2.125634625554084778e-02 9.989514946937561035e-03 1.027708500623703003e-02
2.000000000000000000e+03 3.584322286769747734e-03 2.693134546279907227e-02 1.307060476392507553e-03 6.122718565165996552e-03 3.029250539839267731e-03 2.459544455632567406e-03 2.693134546279907227e-02 1.307060476392507553e-03 6.122718565165996552e-03 3.029250539839267731e-03
3.000000000000000000e+03 1.453978708013892174e-03 1.689736545085906982e-02 2.622151281684637070e-03 5.250958260148763657e-03 2.203011885285377502e-03 1.041687792167067528e-03 1.689736545085906982e-02 2.622151281684637070e-03 5.250958260148763657e-03 2.203011885285377502e-03
4.000000000000000000e+03 1.225045416504144669e-03 1.355739217251539230e-02 3.027383470907807350e-03 5.061792675405740738e-03 2.060583792626857758e-03 8.241051691584289074e-04 1.355739217251539230e-02 3.027383470907807350e-03 5.061792675405740738e-03 2.060583792626857758e-03
5.000000000000000000e+03 1.271297223865985870e-03 1.166547834873199463e-02 3.182430053129792213e-03 5.018757190555334091e-03 2.053624717518687248e-03 9.516332065686583519e-04 1.166547834873199463e-02 3.182430053129792213e-03 5.018757190555334091e-03 2.053624717518687248e-03
6.000000000000000000e+03 9.366496815346181393e-04 1.034391019493341446e-02 3.271062858402729034e-03 5.082916468381881714e-03 2.003982430323958397e-03 6.395527743734419346e-04 1.034391019493341446e-02 3.271062858402729034e-03 5.082916468381881714e-03 2.003982430323958397e-03
7.000000000000000000e+03 8.882034453563392162e-04 9.433641098439693451e-03 3.284184727817773819e-03 4.918781574815511703e-03 1.980151981115341187e-03 6.325297872535884380e-04 9.433641098439693451e-03 3.284184727817773819e-03 4.918781574815511703e-03 1.980151981115341187e-03
8.000000000000000000e+03 9.191895369440317154e-04 8.613889105618000031e-03 3.263433463871479034e-03 4.685165826231241226e-03 1.936393789947032928e-03 6.779392133466899395e-04 8.613889105618000031e-03 3.263433463871479034e-03 4.685165826231241226e-03 1.936393789947032928e-03
9.000000000000000000e+03 1.038701389916241169e-03 7.939161732792854309e-03 3.224605228751897812e-03 4.378651734441518784e-03 1.887617516331374645e-03 7.939080824144184589e-04 7.939161732792854309e-03 3.224605228751897812e-03 4.378651734441518784e-03 1.887617516331374645e-03
1.000000000000000000e+04 1.163111650384962559e-03 7.352040614932775497e-03 3.159751649945974350e-03 4.078663885593414307e-03 1.838264870457351208e-03 9.010870708152651787e-04 7.352040614932775497e-03 3.159751649945974350e-03 4.078663885593414307e-03 1.838264870457351208e-03
1.100000000000000000e+04 1.234822673723101616e-03 6.808337755501270294e-03 3.067262470722198486e-03 3.791003953665494919e-03 1.786521868780255318e-03 9.666417608968913555e-04 6.808337755501270294e-03 3.067262470722198486e-03 3.791003953665494919e-03 1.786521868780255318e-03
1.200000000000000000e+04 1.271187677048146725e-03 6.252295337617397308e-03 2.966267755255103111e-03 3.483028383925557137e-03 1.719880732707679272e-03 1.000300049781799316e-03 6.252295337617397308e-03 2.966267755255103111e-03 3.483028383925557137e-03 1.719880732707679272e-03
1.300000000000000000e+04 1.269228057935833931e-03 5.692900624126195908e-03 2.846203511580824852e-03 3.113162005320191383e-03 1.669192803092300892e-03 9.591724956408143044e-04 5.692900624126195908e-03 2.846203511580824852e-03 3.113162005320191383e-03 1.669192803092300892e-03
1.400000000000000000e+04 2.029247581958770752e-03 5.007964558899402618e-03 2.713941968977451324e-03 2.939281752333045006e-03 1.573436893522739410e-03 2.057744888588786125e-03 5.007964558899402618e-03 2.713941968977451324e-03 2.939281752333045006e-03 1.573436893522739410e-03
