14400 [9.8834e-02, 1.0060e+00]
14500 [9.8684e-02, 1.0066e+00]
14600 [9.8792e-02, 1.0061e+00]
14700 [9.8476e-02, 1.0066e+00]
14800 [9.8591e-02, 1.0074e+00]
14900 [9.9054e-02, 1.0059e+00]
15000 [9.8799e-02, 1.0069e+00]
15100 [9.8717e-02, 1.0060e+00]
15200 [9.8953e-02, 1.0061e+00]
15300 [9.8736e-02, 1.0077e+00]
15400 [9.8835e-02, 1.0062e+00]
15500 [9.9045e-02, 1.0063e+00]
15600 [9.9039e-02, 1.0054e+00]
15700 [9.8998e-02, 1.0056e+00]
15800 [9.8891e-02, 1.0063e+00]
15900 [9.8991e-02, 1.0059e+00]
16000 [9.8902e-02, 1.0065e+00]
16100 [9.8882e-02, 1.0067e+00]
16200 [9.9108e-02, 1.0061e+00]
16300 [9.9097e-02, 1.0069e+00]
16400 [9.9139e-02, 1.0052e+00]
16500 [9.9120e-02, 1.0054e+00]
16600 [9.9169e-02, 1.0054e+00]
16700 [9.9035e-02, 1.0058e+00]
16800 [9.9035e-02, 1.0057e+00]
16900 [9.9149e-02, 1.0061e+00]
17000 [9.9169e-02, 1.0062e+00]
17100 [9.8780e-02, 1.0058e+00]
17200 [9.9124e-02, 1.0054e+00]
17300 [9.9316e-02, 1.0061e+00]
17400 [9.9147e-02, 1.0055e+00]
17500 [9.9184e-02, 1.0063e+00]
17600 [9.9115e-02, 1.0055e+00]
17700 [9.9198e-02, 1.0049e+00]
17800 [9.9185e-02, 1.0053e+00]
17900 [9.9060e-02, 1.0055e+00]
18000 [9.9194e-02, 1.0060e+00]
18100 [9.9190e-02, 1.0053e+00]
18200 [9.9208e-02, 1.0053e+00]
18300 [9.9266e-02, 1.0053e+00]
18400 [9.9211e-02, 1.0054e+00]
18500 [9.9063e-02, 1.0057e+00]
18600 [9.9309e-02, 1.0050e+00]
18700 [9.9188e-02, 1.0054e+00]
18800 [9.9224e-02, 1.0053e+00]
18900 [9.9154e-02, 1.0056e+00]
19000 [9.9294e-02, 1.0049e+00]
19100 [9.9205e-02, 1.0057e+00]
19200 [9.9291e-02, 1.0057e+00]
19300 [9.9380e-02, 1.0050e+00]
19400 [9.9186e-02, 1.0062e+00]
19500 [9.9233e-02, 1.0051e+00]
19600 [9.9182e-02, 1.0056e+00]
19700 [9.9316e-02, 1.0049e+00]
19800 [9.9426e-02, 1.0054e+00]
19900 [9.9333e-02, 1.0048e+00]
20000 [9.9276e-02, 1.0052e+00]
20000 [9.9276e-02, 1.0052e+00]
20100 [9.9400e-02, 1.0050e+00]
20200 [9.9434e-02, 1.0048e+00]
20300 [9.9451e-02, 1.0048e+00]
20400 [9.9461e-02, 1.0047e+00]
20500 [9.9468e-02, 1.0047e+00]
20600 [9.9476e-02, 1.0046e+00]
20700 [9.9481e-02, 1.0046e+00]
20800 [9.9489e-02, 1.0046e+00]
20900 [9.9495e-02, 1.0046e+00]
21000 [9.9498e-02, 1.0045e+00]
21100 [9.9507e-02, 1.0045e+00]
21200 [9.9511e-02, 1.0045e+00]
21300 [9.9519e-02, 1.0044e+00]
21400 [9.9525e-02, 1.0044e+00]
21500 [9.9530e-02, 1.0044e+00]
21600 [9.9526e-02, 1.0043e+00]
21700 [9.9542e-02, 1.0043e+00]
21800 [9.9546e-02, 1.0043e+00]
21900 [9.9552e-02, 1.0043e+00]
22000 [9.9553e-02, 1.0042e+00]
22100 [9.9566e-02, 1.0042e+00]
22200 [9.9568e-02, 1.0042e+00]
22300 [9.9573e-02, 1.0042e+00]
22400 [9.9579e-02, 1.0041e+00]
22500 [9.9584e-02, 1.0041e+00]
22600 [9.9586e-02, 1.0041e+00]
22700 [9.9588e-02, 1.0041e+00]
22800 [9.9586e-02, 1.0041e+00]
22900 [9.9592e-02, 1.0040e+00]
23000 [9.9604e-02, 1.0040e+00]
23100 [9.9610e-02, 1.0040e+00]
23200 [9.9611e-02, 1.0039e+00]
23300 [9.9618e-02, 1.0039e+00]
23400 [9.9622e-02, 1.0039e+00]
23500 [9.9620e-02, 1.0039e+00]
23600 [9.9629e-02, 1.0039e+00]
23700 [9.9629e-02, 1.0038e+00]
23800 [9.9636e-02, 1.0038e+00]
23900 [9.9654e-02, 1.0038e+00]
24000 [9.9642e-02, 1.0038e+00]
24100 [9.9627e-02, 1.0038e+00]
24200 [9.9649e-02, 1.0038e+00]
24300 [9.9650e-02, 1.0037e+00]
