# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.454661764204502106e-02 1.211098432540893555e+00 2.454661764204502106e-02 1.211098432540893555e+00
1.000000000000000000e+03 9.967118967324495316e-04 1.656584069132804871e-02 9.967118967324495316e-04 1.656584069132804871e-02
2.000000000000000000e+03 6.197455804795026779e-04 8.287262171506881714e-03 6.197455804795026779e-04 8.287262171506881714e-03
3.000000000000000000e+03 4.112738242838531733e-04 5.618831142783164978e-03 4.112738242838531733e-04 5.618831142783164978e-03
4.000000000000000000e+03 2.790983999148011208e-04 4.885028116405010223e-03 2.790983999148011208e-04 4.885028116405010223e-03
5.000000000000000000e+03 2.257207961520180106e-04 4.300562664866447449e-03 2.257207961520180106e-04 4.300562664866447449e-03
6.000000000000000000e+03 1.597548543941229582e-04 4.228383302688598633e-03 1.597548543941229582e-04 4.228383302688598633e-03
7.000000000000000000e+03 1.281566073885187507e-04 3.202167106792330742e-03 1.281566073885187507e-04 3.202167106792330742e-03
8.000000000000000000e+03 1.043988522724248469e-04 2.744297496974468231e-03 1.043988522724248469e-04 2.744297496974468231e-03
9.000000000000000000e+03 1.081951559172011912e-04 2.446551108732819557e-03 1.081951559172011912e-04 2.446551108732819557e-03
1.000000000000000000e+04 1.092067395802587271e-04 2.269481774419546127e-03 1.092067395802587271e-04 2.269481774419546127e-03
1.100000000000000000e+04 1.029640770866535604e-04 2.114293863996863365e-03 1.029640770866535604e-04 2.114293863996863365e-03
1.200000000000000000e+04 1.030052371788769960e-04 1.936101121827960014e-03 1.030052371788769960e-04 1.936101121827960014e-03
1.300000000000000000e+04 9.936087735695764422e-05 1.744162407703697681e-03 9.936087735695764422e-05 1.744162407703697681e-03
1.400000000000000000e+04 8.249662641901522875e-05 1.530800363980233669e-03 8.249662641901522875e-05 1.530800363980233669e-03
1.500000000000000000e+04 8.083647844614461064e-05 1.362803392112255096e-03 8.083647844614461064e-05 1.362803392112255096e-03
1.600000000000000000e+04 8.122064173221588135e-05 1.244219834916293621e-03 8.122064173221588135e-05 1.244219834916293621e-03
1.700000000000000000e+04 7.757572166156023741e-05 1.150930533185601234e-03 7.757572166156023741e-05 1.150930533185601234e-03
1.800000000000000000e+04 7.224037108244374394e-05 1.077618100680410862e-03 7.224037108244374394e-05 1.077618100680410862e-03
1.900000000000000000e+04 6.479370495071634650e-05 1.014231238514184952e-03 6.479370495071634650e-05 1.014231238514184952e-03
2.000000000000000000e+04 5.819453508593142033e-05 9.569316171109676361e-04 5.819453508593142033e-05 9.569316171109676361e-04
2.100000000000000000e+04 5.584827158600091934e-05 9.232265292666852474e-04 5.584827158600091934e-05 9.232265292666852474e-04
2.200000000000000000e+04 5.253127528703771532e-05 8.610476506873965263e-04 5.253127528703771532e-05 8.610476506873965263e-04
2.300000000000000000e+04 8.088793401839211583e-05 9.904573671519756317e-04 8.088793401839211583e-05 9.904573671519756317e-04
