0 [0.0000e+00, 0.0000e+00]
100 [1.4561e-03, 3.3661e-03]
200 [1.6479e-03, 9.2468e-03]
300 [2.4075e-03, 1.8282e-02]
400 [3.7131e-03, 3.0913e-02]
500 [5.7507e-03, 4.7834e-02]
600 [8.6970e-03, 6.8618e-02]
700 [1.2676e-02, 9.0171e-02]
800 [1.8821e-02, 1.0491e-01]
900 [3.0548e-02, 1.0095e-01]
1000 [5.0076e-02, 8.1790e-02]
1100 [7.1643e-02, 7.5721e-02]
1200 [7.8166e-02, 8.8968e-02]
1300 [7.5626e-02, 1.0154e-01]
1400 [8.0022e-02, 1.0170e-01]
1500 [9.1945e-02, 1.0088e-01]
1600 [9.8867e-02, 1.0113e-01]
1700 [9.9314e-02, 9.9906e-02]
1800 [9.8670e-02, 9.8767e-02]
1900 [9.8236e-02, 9.8103e-02]
2000 [9.7975e-02, 9.7767e-02]
2100 [9.7803e-02, 9.7630e-02]
2200 [9.7687e-02, 9.7612e-02]
2300 [9.7617e-02, 9.7664e-02]
2400 [9.7583e-02, 9.7755e-02]
2500 [9.7581e-02, 9.7866e-02]
2600 [9.7604e-02, 9.7986e-02]
2700 [9.7645e-02, 9.8107e-02]
2800 [9.7702e-02, 9.8227e-02]
2900 [9.7771e-02, 9.8344e-02]
3000 [9.7849e-02, 9.8459e-02]
3100 [9.7933e-02, 9.8571e-02]
3200 [9.8023e-02, 9.8681e-02]
3300 [9.8115e-02, 9.8789e-02]
3400 [9.8206e-02, 9.8896e-02]
3500 [9.8292e-02, 9.9000e-02]
3600 [9.8365e-02, 9.9097e-02]
3700 [9.8429e-02, 9.9191e-02]
3800 [9.8475e-02, 9.9276e-02]
3900 [9.8506e-02, 9.9352e-02]
4000 [9.8520e-02, 9.9417e-02]
4100 [9.8517e-02, 9.9470e-02]
4200 [9.8504e-02, 9.9506e-02]
4300 [9.8472e-02, 9.9528e-02]
4400 [9.8440e-02, 9.9537e-02]
4500 [9.8395e-02, 9.9536e-02]
