0 [4.0000e-01, 6.0000e-01]
100 [4.0066e-01, 5.9503e-01]
200 [3.8991e-01, 5.8650e-01]
300 [3.8533e-01, 5.5365e-01]
400 [4.1979e-01, 5.2142e-01]
500 [4.4224e-01, 4.9954e-01]
600 [4.6474e-01, 4.9947e-01]
700 [4.8657e-01, 4.9983e-01]
800 [5.0345e-01, 4.9755e-01]
900 [5.1436e-01, 4.9170e-01]
1000 [5.2078e-01, 4.8377e-01]
1100 [5.2445e-01, 4.7633e-01]
1200 [5.2654e-01, 4.7030e-01]
1300 [5.2776e-01, 4.6613e-01]
1400 [5.2797e-01, 4.6501e-01]
1500 [5.2593e-01, 4.6838e-01]
1600 [5.2109e-01, 4.7607e-01]
1700 [5.1559e-01, 4.8459e-01]
1800 [5.1228e-01, 4.9049e-01]
1900 [5.1243e-01, 4.9363e-01]
2000 [5.1398e-01, 4.9531e-01]
2100 [5.1503e-01, 4.9629e-01]
2200 [5.1530e-01, 4.9680e-01]
2300 [5.1506e-01, 4.9724e-01]
2400 [5.1456e-01, 4.9767e-01]
2500 [5.1393e-01, 4.9809e-01]
2600 [5.1323e-01, 4.9845e-01]
2700 [5.1256e-01, 4.9870e-01]
2800 [5.1195e-01, 4.9886e-01]
2900 [5.1144e-01, 4.9894e-01]
3000 [5.1099e-01, 4.9897e-01]
3100 [5.1062e-01, 4.9899e-01]
3200 [5.1033e-01, 4.9900e-01]
3300 [5.1008e-01, 4.9902e-01]
3400 [5.0989e-01, 4.9905e-01]
3500 [5.0973e-01, 4.9909e-01]
3600 [5.0961e-01, 4.9915e-01]
3700 [5.0952e-01, 4.9920e-01]
3800 [5.0944e-01, 4.9925e-01]
3900 [5.0939e-01, 4.9930e-01]
4000 [5.0933e-01, 4.9937e-01]
4100 [5.0929e-01, 4.9940e-01]
4200 [5.0925e-01, 4.9946e-01]
4300 [5.0919e-01, 4.9950e-01]
4400 [5.0917e-01, 4.9953e-01]
4500 [5.0912e-01, 4.9959e-01]
4600 [5.0909e-01, 4.9960e-01]
4700 [5.0904e-01, 4.9964e-01]
4800 [5.0900e-01, 4.9968e-01]
4900 [5.0895e-01, 4.9971e-01]
5000 [5.0890e-01, 4.9974e-01]
5100 [5.0885e-01, 4.9978e-01]
5200 [5.0880e-01, 4.9981e-01]
5300 [5.0875e-01, 4.9984e-01]
5400 [5.0871e-01, 4.9989e-01]
5500 [5.0865e-01, 4.9990e-01]
5600 [5.0860e-01, 4.9993e-01]
5700 [5.0855e-01, 4.9997e-01]
5800 [5.0849e-01, 5.0001e-01]
5900 [5.0844e-01, 5.0004e-01]
6000 [5.0838e-01, 5.0009e-01]
6100 [5.0833e-01, 5.0012e-01]
6200 [5.0827e-01, 5.0017e-01]
6300 [5.0820e-01, 5.0022e-01]
6400 [5.0814e-01, 5.0029e-01]
6500 [5.0804e-01, 5.0033e-01]
6600 [5.0799e-01, 5.0040e-01]
6700 [5.0792e-01, 5.0046e-01]
6800 [5.0784e-01, 5.0054e-01]
6900 [5.0775e-01, 5.0062e-01]
7000 [5.0765e-01, 5.0070e-01]
7100 [5.0756e-01, 5.0079e-01]
7200 [5.0746e-01, 5.0087e-01]
7300 [5.0735e-01, 5.0097e-01]
7400 [5.0723e-01, 5.0106e-01]
7500 [5.0714e-01, 5.0115e-01]
7600 [5.0703e-01, 5.0124e-01]
7700 [5.0691e-01, 5.0134e-01]
7800 [5.0679e-01, 5.0143e-01]
7900 [5.0668e-01, 5.0152e-01]
8000 [5.0656e-01, 5.0159e-01]
8100 [5.0643e-01, 5.0169e-01]
8200 [5.0632e-01, 5.0176e-01]
8300 [5.0619e-01, 5.0185e-01]
8400 [5.0605e-01, 5.0192e-01]
8500 [5.0596e-01, 5.0198e-01]
8600 [5.0584e-01, 5.0204e-01]
8700 [5.0571e-01, 5.0213e-01]
8800 [5.0560e-01, 5.0216e-01]
8900 [5.0550e-01, 5.0220e-01]
9000 [5.0539e-01, 5.0223e-01]
9100 [5.0526e-01, 5.0229e-01]
9200 [5.0517e-01, 5.0233e-01]
9300 [5.0504e-01, 5.0235e-01]
9400 [5.0496e-01, 5.0240e-01]
9500 [5.0486e-01, 5.0243e-01]
9600 [5.0476e-01, 5.0245e-01]
9700 [5.0466e-01, 5.0248e-01]
9800 [5.0457e-01, 5.0250e-01]
9900 [5.0448e-01, 5.0252e-01]
10000 [5.0439e-01, 5.0254e-01]
10100 [5.0430e-01, 5.0256e-01]
10200 [5.0419e-01, 5.0257e-01]
10300 [5.0412e-01, 5.0259e-01]
